name,tokens_opti_metric,accuracy
Default,0.0,0.32
Entropy_Optim_p_0.05,0.06354827671009917,0.3
Entropy_Optim_p_0.1,0.11187882464200333,0.28
Entropy_Optim_p_0.25,0.264708657814639,0.22
Entropy_Optim_p_0.5,0.4965456587511314,0.08
SynonymReplace_Optim_p_1.0,0.010552199050304767,0.33
Lemmatizer_Optim,0.010102273794581817,0.33
Stemmer_Optim,-0.05913231081899146,0.09
NameReplace_Optim,0.011329279462348097,0.34
Punctuation_Optim,0.12810019014299953,0.35
Autocorrect_Optim,0.011435464848382511,0.3
Pulp_Optim_p_0.05,0.05493628125175053,0.31
Pulp_Optim_p_0.1,0.09521899460726639,0.25
